"gene","log_fc_est","sd_est","cell_type","cell_type_long"
"TIMM17B",-0.46237911446477,0.130320090153276,"ExDp1","Maturing deep layer excit. (ExDp1)"
"LONRF2",-0.455100451432452,0.140989785914296,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ATL1",-0.454737882053321,0.118341637253442,"ExDp1","Maturing deep layer excit. (ExDp1)"
"HSPBP1",-0.453467279420266,0.148746397103517,"ExDp1","Maturing deep layer excit. (ExDp1)"
"TRAPPC9",0.450109742673507,0.131244876299126,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PYURF",-0.449920538844856,0.119691682818665,"ExDp1","Maturing deep layer excit. (ExDp1)"
"CEP350",0.447551564160549,0.104442123706451,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ZFP64",0.441260878640716,0.156420933908792,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PHAX",-0.440213464193778,0.1172934581678,"ExDp1","Maturing deep layer excit. (ExDp1)"
"SLC4A3",0.440140446202306,0.0632355258193424,"ExDp1","Maturing deep layer excit. (ExDp1)"
"HNRNPC",-0.440040162072087,0.128611357099418,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PMM1",-0.436458821130912,0.0792209679119283,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ANKMY2",0.435894272590442,0.11851797447767,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PDE9A",0.435338529190617,0.12904262684951,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PNN",0.431140744061315,0.108983691330442,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ZNF75A",0.431123970172328,0.121540848180097,"ExDp1","Maturing deep layer excit. (ExDp1)"
"KCNMB4",-0.428364718249629,0.114616373030781,"ExDp1","Maturing deep layer excit. (ExDp1)"
"CGGBP1",-0.424208836316297,0.129960891573389,"ExDp1","Maturing deep layer excit. (ExDp1)"
"BDP1",0.423602647270971,0.115189218455083,"ExDp1","Maturing deep layer excit. (ExDp1)"
"XPOT",0.422442133041131,0.100939138484092,"ExDp1","Maturing deep layer excit. (ExDp1)"
"CHCHD6",0.421237986884088,0.140085456732298,"ExDp1","Maturing deep layer excit. (ExDp1)"
"DCK",-0.41740487338551,0.129369320236012,"ExDp1","Maturing deep layer excit. (ExDp1)"
"TBC1D23",-0.415707719259053,0.078722057594596,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ATF6B",0.414599890675994,0.148610708189762,"ExDp1","Maturing deep layer excit. (ExDp1)"
"TXN2",-0.414353022289393,0.147484475258279,"ExDp1","Maturing deep layer excit. (ExDp1)"
"FBXO30",-0.411035651825053,0.0908257111710358,"ExDp1","Maturing deep layer excit. (ExDp1)"
"RAB9B",0.406654757531017,0.0665348884014337,"ExDp1","Maturing deep layer excit. (ExDp1)"
"MDH2",-0.406291630105202,0.0908945239654522,"ExDp1","Maturing deep layer excit. (ExDp1)"
"AGPAT3",0.405725794451833,0.15205281462724,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PLEKHA5",0.404832318274241,0.122309833631525,"ExDp1","Maturing deep layer excit. (ExDp1)"
"AP3S2",-0.401449157902924,0.112579312764872,"ExDp1","Maturing deep layer excit. (ExDp1)"
"CNTNAP4",-1.8393250092312,0.422482267952858,"ExDp2","Maturing deep layer excit. (ExDp2)"
"TUBA1A",-1.79833321244522,0.373668769780873,"ExDp2","Maturing deep layer excit. (ExDp2)"
"MT-ND6",1.40171417779576,0.305403775033045,"ExDp2","Maturing deep layer excit. (ExDp2)"
"RANBP17",-1.16613718516433,0.199114294512868,"ExDp2","Maturing deep layer excit. (ExDp2)"
"CHGA",-1.0120552660696,0.257940258908317,"ExDp2","Maturing deep layer excit. (ExDp2)"
"PCP4",0.95008876407028,0.136638351518085,"ExDp2","Maturing deep layer excit. (ExDp2)"
"SOD1",0.923954114297402,0.247313714755673,"ExDp2","Maturing deep layer excit. (ExDp2)"
"CHD3",-0.739568093551364,0.198067976669197,"ExDp2","Maturing deep layer excit. (ExDp2)"
"KCNG1",0.676789199471274,0.192506138167108,"ExDp2","Maturing deep layer excit. (ExDp2)"
"DNAJB5",0.657703628133552,0.159645559491277,"ExDp2","Maturing deep layer excit. (ExDp2)"
"BID",0.639199711088468,0.168676715764382,"ExDp2","Maturing deep layer excit. (ExDp2)"
"PLPPR3",-0.597839613974561,0.165760281383527,"ExDp2","Maturing deep layer excit. (ExDp2)"
"SCN2A",0.557430062645857,0.117541188162488,"ExDp2","Maturing deep layer excit. (ExDp2)"
"SS18L2",2.7816367883593,0.939747682245992,"ExM","Maturing excit. (ExM)"
"CSAD",0.991660783928552,0.343600512176614,"ExM","Maturing excit. (ExM)"
"SUMO2",-0.953094688093801,0.187337905916052,"ExM","Maturing excit. (ExM)"
"PCNT",0.901228660090636,0.304537314387112,"ExM","Maturing excit. (ExM)"
"GIGYF1",0.813317921191073,0.222134439324843,"ExM","Maturing excit. (ExM)"
"INPP5E",0.803504449331887,0.13402203788209,"ExM","Maturing excit. (ExM)"
"CTTNBP2",0.780998415370982,0.235843723226523,"ExM","Maturing excit. (ExM)"
"PAXBP1",0.762726199852733,0.14637724731045,"ExM","Maturing excit. (ExM)"
"SYNGAP1",0.740548306058374,0.230751597704071,"ExM","Maturing excit. (ExM)"
"SMDT1",-0.737551964378637,0.199744430830888,"ExM","Maturing excit. (ExM)"
"MCM3AP",0.717503659247748,0.225655380978308,"ExM","Maturing excit. (ExM)"
"DMXL1",0.705379452073915,0.152935270786702,"ExM","Maturing excit. (ExM)"
"TUBGCP6",0.703188457854228,0.126900366385074,"ExM","Maturing excit. (ExM)"
"PCBP1",-0.688795656625624,0.164632970214081,"ExM","Maturing excit. (ExM)"
"MAN1B1",0.679421306781243,0.115442449621715,"ExM","Maturing excit. (ExM)"
"HMGN1",0.666244035113908,0.0682048005014914,"ExM","Maturing excit. (ExM)"
"USP16",0.653190491513598,0.139630820630758,"ExM","Maturing excit. (ExM)"
"YY1",-0.652747774564612,0.123133972205202,"ExM","Maturing excit. (ExM)"
"WDR27",0.649561215367591,0.150283606706728,"ExM","Maturing excit. (ExM)"
"NDUFB6",-0.644738131102685,0.164838473078659,"ExM","Maturing excit. (ExM)"
"TSPYL1",-0.633238396076402,0.0944618024176112,"ExM","Maturing excit. (ExM)"
"SSX2IP",0.62248384932002,0.211155974439684,"ExM","Maturing excit. (ExM)"
"MICAL1",0.621681713123939,0.209448354406477,"ExM","Maturing excit. (ExM)"
"TOMM7",-0.60715028019817,0.172942991303254,"ExM","Maturing excit. (ExM)"
"ZNF117",0.604475867849994,0.160466824617348,"ExM","Maturing excit. (ExM)"
"ZNF518A",0.589656488904856,0.108569286219016,"ExM","Maturing excit. (ExM)"
"POLR1A",0.583359614085103,0.151925235089634,"ExM","Maturing excit. (ExM)"
"DCBLD2",0.582562923340935,0.169844242924419,"ExM","Maturing excit. (ExM)"
"ZNF337",0.571598477956944,0.190286806544923,"ExM","Maturing excit. (ExM)"
"SH3BGRL2",0.571424819907387,0.17297784881556,"ExM","Maturing excit. (ExM)"
"PPP1R10",0.56956325941475,0.183184359053271,"ExM","Maturing excit. (ExM)"
"ALKBH7",-0.568290436933291,0.17764591465141,"ExM","Maturing excit. (ExM)"
"CLIP3",-0.564352093063773,0.174514304067009,"ExM","Maturing excit. (ExM)"
"CCNL2",0.560085705283906,0.142095124843254,"ExM","Maturing excit. (ExM)"
"CYP2R1",0.549522744979166,0.154331563377025,"ExM","Maturing excit. (ExM)"
"NDUFV3",0.548453121972794,0.165374627477359,"ExM","Maturing excit. (ExM)"
"RAD23B",-0.547909136903207,0.172090281305053,"ExM","Maturing excit. (ExM)"
"UHRF2",0.547368907962384,0.101772065326075,"ExM","Maturing excit. (ExM)"
"TTLL5",0.538409361300878,0.157713851818834,"ExM","Maturing excit. (ExM)"
"TSPAN2",0.53699351259011,0.156754720224002,"ExM","Maturing excit. (ExM)"
"SNRPF",-0.528079076333252,0.165603416138969,"ExM","Maturing excit. (ExM)"
"GART",0.510949894185356,0.0894392961725862,"ExM","Maturing excit. (ExM)"
"GGT7",0.509170984098129,0.140515391241958,"ExM","Maturing excit. (ExM)"
"ERH",-0.506654172621207,0.137750154680692,"ExM","Maturing excit. (ExM)"
"UBQLN1",-0.4927295491871,0.104047943639309,"ExM","Maturing excit. (ExM)"
"NINL",0.490421026497792,0.138435057592697,"ExM","Maturing excit. (ExM)"
"THOC5",0.482787665014621,0.169809386366046,"ExM","Maturing excit. (ExM)"
"LAS1L",0.480938265137047,0.139267555187154,"ExM","Maturing excit. (ExM)"
"TMEM170B",-0.474711537945418,0.135785966181723,"ExM","Maturing excit. (ExM)"
"TACC2",0.465521862128434,0.147075281193027,"ExM","Maturing excit. (ExM)"
"ZFC3H1",0.464944826265197,0.131884064500611,"ExM","Maturing excit. (ExM)"
"EMD",-0.458892479483632,0.126569618639657,"ExM","Maturing excit. (ExM)"
"LSM7",-0.455871106437996,0.136756278176061,"ExM","Maturing excit. (ExM)"
"MYSM1",0.451629945318746,0.100902341286571,"ExM","Maturing excit. (ExM)"
"COPS6",-0.449619905519212,0.105839851461244,"ExM","Maturing excit. (ExM)"
"BUD31",-0.44720185856664,0.157078523969442,"ExM","Maturing excit. (ExM)"
"GNB1",-0.438942699895041,0.124412627645357,"ExM","Maturing excit. (ExM)"
"SORBS1",0.438700884618783,0.0820662696925154,"ExM","Maturing excit. (ExM)"
"NSUN6",0.438379730495142,0.137504204131279,"ExM","Maturing excit. (ExM)"
"U2SURP",0.437623756529747,0.113712595425893,"ExM","Maturing excit. (ExM)"
"CLIP1",0.43758424078803,0.0959665119942715,"ExM","Maturing excit. (ExM)"
"MDM4",0.432080112321422,0.109413904040611,"ExM","Maturing excit. (ExM)"
"ANKRD26",0.424903556409655,0.137226016761005,"ExM","Maturing excit. (ExM)"
"WDR11",0.421252644312828,0.122162397349646,"ExM","Maturing excit. (ExM)"
"TRIM3",0.42112741386017,0.103136321483986,"ExM","Maturing excit. (ExM)"
"PSMA7",-0.419415253363566,0.0827959523843988,"ExM","Maturing excit. (ExM)"
"SETDB1",0.418913427942289,0.113992339874724,"ExM","Maturing excit. (ExM)"
"CHMP2A",-0.417726181963445,0.109331701988604,"ExM","Maturing excit. (ExM)"
"MPC2",-0.416755796919084,0.118049286575457,"ExM","Maturing excit. (ExM)"
"ARMCX5",0.415004617967263,0.125089887540546,"ExM","Maturing excit. (ExM)"
"HLTF",0.405530057278046,0.101286865738435,"ExM","Maturing excit. (ExM)"
"TRIM46",0.404739539832388,0.106031001893171,"ExM","Maturing excit. (ExM)"
"HNRNPA0",-0.404410360719119,0.0482606600538736,"ExM","Maturing excit. (ExM)"
"SCAPER",-0.403459323297141,0.133759543735662,"ExM","Maturing excit. (ExM)"
"HDAC6",0.400456766184291,0.0969498121377739,"ExM","Maturing excit. (ExM)"
"BCL11A",-1.9824298899176,0.467538387698213,"ExM-U","Maturing upper layer excit. (ExM-U)"
"GTDC1",-1.50673342457389,0.117877154260709,"ExM-U","Maturing upper layer excit. (ExM-U)"
"PCDHGB6",1.33793593654281,0.231744432877732,"ExM-U","Maturing upper layer excit. (ExM-U)"
"YME1L1",-1.30333820673535,0.223008322645024,"ExM-U","Maturing upper layer excit. (ExM-U)"
"PCNT",1.29763396396844,0.285329238950533,"ExM-U","Maturing upper layer excit. (ExM-U)"
"PAXBP1",1.17875733146817,0.264455399467689,"ExM-U","Maturing upper layer excit. (ExM-U)"
"KIAA0513",0.879947236041351,0.237719163360748,"ExM-U","Maturing upper layer excit. (ExM-U)"
"CTDNEP1",-0.818438056606023,0.189713669815824,"ExM-U","Maturing upper layer excit. (ExM-U)"
"VARS2",0.778378422115198,0.145181069064413,"ExM-U","Maturing upper layer excit. (ExM-U)"
"BTBD10",-0.766280510364922,0.214370841219713,"ExM-U","Maturing upper layer excit. (ExM-U)"
"ANO8",0.719366417156598,0.205197336051768,"ExM-U","Maturing upper layer excit. (ExM-U)"
"NDUFV3",0.713569752725732,0.120742416117962,"ExM-U","Maturing upper layer excit. (ExM-U)"
"UBE2G2",0.684805101987954,0.15865957203398,"ExM-U","Maturing upper layer excit. (ExM-U)"
"GART",0.679066997513015,0.188790721891381,"ExM-U","Maturing upper layer excit. (ExM-U)"
"ARPP21",0.676688160985454,0.175337248511568,"ExM-U","Maturing upper layer excit. (ExM-U)"
"HMGN1",0.6672322378548,0.221852528747768,"ExM-U","Maturing upper layer excit. (ExM-U)"
"MRNIP",0.646606446938641,0.205944540014488,"ExM-U","Maturing upper layer excit. (ExM-U)"
"VPS51",-0.636495969236485,0.124660211090827,"ExM-U","Maturing upper layer excit. (ExM-U)"
"GIGYF1",0.616402272942963,0.117366948811546,"ExM-U","Maturing upper layer excit. (ExM-U)"
"STK32B",-0.613786664637172,0.168335651101192,"ExM-U","Maturing upper layer excit. (ExM-U)"
"TSPO",-0.611907339758433,0.0835925646194195,"ExM-U","Maturing upper layer excit. (ExM-U)"
"HM13",-0.608693313577951,0.134722346348389,"ExM-U","Maturing upper layer excit. (ExM-U)"
"STX1A",0.572150625509756,0.136734142334656,"ExM-U","Maturing upper layer excit. (ExM-U)"
"TUBA1A",-0.567195851795141,0.141383492980925,"ExM-U","Maturing upper layer excit. (ExM-U)"
"BDP1",0.56184677670774,0.0472247879329067,"ExM-U","Maturing upper layer excit. (ExM-U)"
"LRPAP1",0.56164828954519,0.13787228510355,"ExM-U","Maturing upper layer excit. (ExM-U)"
"RHBDD2",-0.554915964562745,0.185140719247431,"ExM-U","Maturing upper layer excit. (ExM-U)"
"SEZ6L",-0.544025377847698,0.0863636267672681,"ExM-U","Maturing upper layer excit. (ExM-U)"
"SMDT1",-0.531964464485286,0.131492834720714,"ExM-U","Maturing upper layer excit. (ExM-U)"
"CHCHD6",0.529072019844822,0.0659078284381791,"ExM-U","Maturing upper layer excit. (ExM-U)"
"MORF4L2",0.525095033571123,0.114157537616093,"ExM-U","Maturing upper layer excit. (ExM-U)"
"SPNS1",-0.516475306324738,0.113480411525083,"ExM-U","Maturing upper layer excit. (ExM-U)"
"PLXNB1",0.515849119993381,0.166383542779137,"ExM-U","Maturing upper layer excit. (ExM-U)"
"MCM3AP",0.502660164370017,0.165143230430223,"ExM-U","Maturing upper layer excit. (ExM-U)"
"SCAF4",0.492979678949582,0.138304633336453,"ExM-U","Maturing upper layer excit. (ExM-U)"
"MPND",-0.490642169163333,0.166027371044754,"ExM-U","Maturing upper layer excit. (ExM-U)"
"GFOD2",-0.485821036297844,0.162285331465112,"ExM-U","Maturing upper layer excit. (ExM-U)"
"TSC2",0.485704083910922,0.102378574682659,"ExM-U","Maturing upper layer excit. (ExM-U)"
"MAN1B1",0.446485965787206,0.0949384472197071,"ExM-U","Maturing upper layer excit. (ExM-U)"
"PPIP5K2",0.428107791228982,0.0636787286656551,"ExM-U","Maturing upper layer excit. (ExM-U)"
"KPNA5",-0.425002046716275,0.100142226266967,"ExM-U","Maturing upper layer excit. (ExM-U)"
"EPS15L1",0.423573790101773,0.138270143978006,"ExM-U","Maturing upper layer excit. (ExM-U)"
"FAM20B",-0.418780696467847,0.102234807983705,"ExM-U","Maturing upper layer excit. (ExM-U)"
"EVI5L",-0.418361428314931,0.137424590191214,"ExM-U","Maturing upper layer excit. (ExM-U)"
"KDM2A",0.416318919396801,0.119264554520361,"ExM-U","Maturing upper layer excit. (ExM-U)"
"PAQR3",-0.415308002964558,0.0899774561836759,"ExM-U","Maturing upper layer excit. (ExM-U)"
"FGD1",-0.405178875807634,0.0987101036460483,"ExM-U","Maturing upper layer excit. (ExM-U)"
"PFDN5",-0.890522474383406,0.232307359589659,"ExN","Newly born excit. (ExN)"
"ACAP3",0.796602050848139,0.265326212541666,"ExN","Newly born excit. (ExN)"
"FAM118A",0.795653441379232,0.254335652599515,"ExN","Newly born excit. (ExN)"
"UBQLN1",-0.778880503493175,0.199037275181317,"ExN","Newly born excit. (ExN)"
"SSR4",-0.768673821240343,0.200345762801894,"ExN","Newly born excit. (ExN)"
"RAB9B",0.767927279812461,0.214935355407138,"ExN","Newly born excit. (ExN)"
"MICAL1",0.763343221657594,0.252423381758527,"ExN","Newly born excit. (ExN)"
"USP16",0.747006080642391,0.161077247424622,"ExN","Newly born excit. (ExN)"
"CSNK1A1",-0.731142200718545,0.191325030826284,"ExN","Newly born excit. (ExN)"
"PREP",-0.729128381470418,0.244092383162558,"ExN","Newly born excit. (ExN)"
"TMEM167B",-0.706371428896233,0.217558618789992,"ExN","Newly born excit. (ExN)"
"KIAA0895L",0.705620572242202,0.224478083557569,"ExN","Newly born excit. (ExN)"
"PAXBP1",0.688363167519068,0.23131138227704,"ExN","Newly born excit. (ExN)"
"SCAF4",0.659787315038166,0.155090289175753,"ExN","Newly born excit. (ExN)"
"PCNT",0.653103249634264,0.203811084535721,"ExN","Newly born excit. (ExN)"
"EFCAB7",-0.64608271848028,0.135257481640558,"ExN","Newly born excit. (ExN)"
"SMDT1",-0.645412281084655,0.150697983331156,"ExN","Newly born excit. (ExN)"
"TSR3",-0.635928708528188,0.210629759356042,"ExN","Newly born excit. (ExN)"
"MACF1",0.614509515666357,0.172949107036076,"ExN","Newly born excit. (ExN)"
"ARL3",-0.605984670442274,0.104723615256905,"ExN","Newly born excit. (ExN)"
"SCARB2",-0.603669084912222,0.129652427462033,"ExN","Newly born excit. (ExN)"
"GGT7",0.589081536640632,0.155912620093906,"ExN","Newly born excit. (ExN)"
"TCEA2",0.587866064021616,0.189241098149089,"ExN","Newly born excit. (ExN)"
"WDR86",0.583907714433041,0.102241635791579,"ExN","Newly born excit. (ExN)"
"SLC4A1AP",-0.568788310927448,0.187247526021024,"ExN","Newly born excit. (ExN)"
"HMGN1",0.564381287670519,0.146541173048164,"ExN","Newly born excit. (ExN)"
"POLR2K",-0.562660586036065,0.174343633284276,"ExN","Newly born excit. (ExN)"
"CNBP",-0.558570147510882,0.0923482820427498,"ExN","Newly born excit. (ExN)"
"NDUFS4",-0.553569760331231,0.1676895532366,"ExN","Newly born excit. (ExN)"
"KIAA0232",0.54018453524424,0.166223963315243,"ExN","Newly born excit. (ExN)"
"FRMD4A",0.534242615095377,0.146269402071524,"ExN","Newly born excit. (ExN)"
"KDM3A",-0.531534177029401,0.173591690303627,"ExN","Newly born excit. (ExN)"
