,Celltype,Gene_set,Term,Adjusted P-value,Genes,-log(pval)
1322,ExM_IZ,KEGG_2021_Human,ErbB signaling pathway,0.007699975482951038,GSK3B;CDKN1B;SRC;BRAF;PAK2,4.8665381341599
219,ExN_SP,GO_Cellular_Component_2021,lysosome (GO:0005764),0.0072525650838556775,ATP6V1G1;ANKRD27;ANKFY1;IDS;LAMTOR1;GDAP2,4.926400068019919
0,ExN_oSVZ,GO_Biological_Process_2021,aldehyde biosynthetic process (GO:0046184),0.002402466323165891,KDM3A;CACNA1H,6.031259434630812
0,ExDp1_CP,GO_Biological_Process_2021,establishment of mitotic spindle orientation (GO:0000132),0.002229091932501091,NUMA1;DCTN1;FBXW11;HTT;CDK5RAP2,6.106160981597105
1,ExDp1_CP,GO_Biological_Process_2021,establishment of mitotic spindle localization (GO:0040001),0.002229091932501091,NUMA1;DCTN1;FBXW11;HTT;CDK5RAP2,6.106160981597105
2,ExDp1_CP,GO_Biological_Process_2021,establishment of spindle orientation (GO:0051294),0.002229091932501091,NUMA1;DCTN1;FBXW11;HTT;CDK5RAP2,6.106160981597105
0,ExM.U_CP,GO_Biological_Process_2021,substantia nigra development (GO:0021762),0.008149509189473167,HSPA5;CKB;SUDS3;ZNF148;ACTB,4.809797575693324
0,vRG_VZ,GO_Biological_Process_2021,mRNA processing (GO:0006397),3.520849870480249e-07,HNRNPA3;PPIL1;SF3B2;PRPF38A;CPSF6;DDX46;YTHDC1;FUS;U2SURP;WDR33;NUDT21;LSM7;SART3;HNRNPF;TRA2A;DHX15;POLR2H;SNRPC;POLR2I;SF3B1;CMTR1;HNRNPA0;POLR2L;SNRPB,14.859393250013031
1,vRG_VZ,GO_Biological_Process_2021,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",3.520849870480249e-07,SF3B2;HNRNPA3;PPIL1;PRPF38A;DDX46;YTHDC1;FUS;U2SURP;WDR33;NUDT21;LSM7;SART3;HNRNPF;TRA2A;DHX15;POLR2H;SNRPC;POLR2I;SF3B1;SNRPB;HNRNPA0;POLR2L,14.859393250013031
2,vRG_VZ,GO_Biological_Process_2021,"mRNA splicing, via spliceosome (GO:0000398)",1.2803984478308049e-06,SF3B2;HNRNPA3;PPIL1;PRPF38A;DDX46;YTHDC1;FUS;U2SURP;WDR33;NUDT21;LSM7;SART3;HNRNPF;TRA2A;DHX15;POLR2H;SNRPC;POLR2I;SF3B1;SNRPB;HNRNPA0;POLR2L,13.568339241104793
3,vRG_VZ,GO_Biological_Process_2021,Golgi to plasma membrane protein transport (GO:0043001),0.004293823134114567,GGA2;RAB10;BBS1;GOLPH3;SEC16A;VAMP2,5.450577769448231
1766,vRG_VZ,GO_Cellular_Component_2021,intracellular membrane-bounded organelle (GO:0043231),5.6167562670937044e-08,EIF4A1;EHMT2;ZNF292;HDLBP;CCAR2;TIAL1;EEF1B2;PSMD3;KMT5B;PIP4K2B;CMTR1;PHLDA1;FADS1;TSPYL1;DNTTIP1;RSBN1;RC3H2;SMO;TBL1XR1;HAT1;ERF;ZNF316;CHMP4B;PREB;PPIA;SNRPB;URI1;YTHDC1;FLII;STK39;ZNF24;RLF;OAZ2;ZFP36L1;SBNO1;TP53BP2;PACSIN2;LTA4H;ZNF664;SERF2;PRPF38A;CPSF6;API5;FUS;OSBPL2;SMARCA5;NFATC3;SNF8;DIAPH1;LSM7;FUBP1;HNRNPF;NF1;UBE2O;FBXL3;CNOT8;RERE;MUS81;CREBZF;WDR48;CDKN1B;BTG1;DDX46;DPY30;PSIP1;WASL;LITAF;NGRN;XPO1;SART3;SNAPC3;CYP2R1;DHX15;IDH3B;CASP2;HMG20B;ARIH1;FEZF2;TNPO3;PARP1;DDX54;VEZF1;RAD23B;ZDHHC17;WDR33;GNL3;TUBB2A;TFDP1;SLTM;TBC1D5;ATP6V1B2;VGLL4;VAMP2;NFAT5;SF3B2;ADD1;DNAJB2;CECR2;SH3BGRL;CUX1;TRA2A;MVB12B;POLR2H;POLR2I;SF3B1;HES5;HNRNPA0;POLR2L;EGLN1;ATF7IP;HNRNPA3;PPIL1;TAF15;MCRS1;GBF1;RANBP9;ZIC5;ELP6;U2SURP;HIPK3;AGBL5;CLCN7;NUDT21;GOLPH3;PSMC5;ITCH;NFIA;NFIB;ZNF219;NBR1;PFKM,16.69492642335106
1767,vRG_VZ,GO_Cellular_Component_2021,nucleus (GO:0005634),1.4841606512118446e-06,EIF4A1;EHMT2;ZNF292;HDLBP;CCAR2;TIAL1;EEF1B2;PSMD3;KMT5B;PIP4K2B;CMTR1;PHLDA1;TSPYL1;DNTTIP1;RSBN1;TBL1XR1;HAT1;ERF;ZNF316;CHMP4B;PREB;PPIA;SNRPB;URI1;YTHDC1;FLII;ZNF24;RLF;OAZ2;ZFP36L1;SBNO1;TP53BP2;LTA4H;ZNF664;SERF2;PRPF38A;CPSF6;API5;FUS;SMARCA5;NFATC3;SNF8;DIAPH1;LSM7;FUBP1;HNRNPF;NF1;UBE2O;FBXL3;CNOT8;RERE;MUS81;CREBZF;WDR48;CDKN1B;BTG1;DDX46;DPY30;PSIP1;WASL;NGRN;XPO1;SART3;SNAPC3;DHX15;IDH3B;CASP2;HMG20B;ARIH1;FEZF2;PARP1;DDX54;VEZF1;RAD23B;WDR33;GNL3;TUBB2A;TFDP1;SLTM;VGLL4;NFAT5;SF3B2;ADD1;DNAJB2;CECR2;SH3BGRL;CUX1;TRA2A;MVB12B;POLR2H;POLR2I;SF3B1;HES5;HNRNPA0;POLR2L;EGLN1;ATF7IP;HNRNPA3;PPIL1;TAF15;MCRS1;RANBP9;ZIC5;ELP6;U2SURP;HIPK3;AGBL5;NUDT21;PSMC5;NFIA;NFIB;ZNF219;PFKM,13.420661163544704
1768,vRG_VZ,GO_Cellular_Component_2021,U12-type spliceosomal complex (GO:0005689),0.008120546532443535,SF3B2;LSM7;DHX15;SF3B1;SNRPB,4.813357820122388
1975,vRG_VZ,KEGG_2021_Human,Spliceosome,1.566911338405269e-05,SF3B2;HNRNPA3;PPIL1;PRPF38A;CCDC12;DDX46;FUS;U2SURP;LSM7;TRA2A;DHX15;SNRPC;SF3B1;SNRPB,11.063819083665956
1976,vRG_VZ,KEGG_2021_Human,Endocytosis,0.0015408150387384233,RAB5C;GBF1;CXCR4;SNF8;WASL;ASAP2;RAB11B;ARFGAP2;RAB10;ITCH;CAPZA2;MVB12B;CHMP2A;CHMP4B;VPS28,6.475443756623793
0,vRG_VZ,GO_Biological_Process_2021,mRNA processing (GO:0006397),3.520849870480249e-07,HNRNPA3;PPIL1;SF3B2;PRPF38A;CPSF6;DDX46;YTHDC1;FUS;U2SURP;WDR33;NUDT21;LSM7;SART3;HNRNPF;TRA2A;DHX15;POLR2H;SNRPC;POLR2I;SF3B1;CMTR1;HNRNPA0;POLR2L;SNRPB,14.859393250013031
1,vRG_VZ,GO_Biological_Process_2021,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",3.520849870480249e-07,SF3B2;HNRNPA3;PPIL1;PRPF38A;DDX46;YTHDC1;FUS;U2SURP;WDR33;NUDT21;LSM7;SART3;HNRNPF;TRA2A;DHX15;POLR2H;SNRPC;POLR2I;SF3B1;SNRPB;HNRNPA0;POLR2L,14.859393250013031
2,vRG_VZ,GO_Biological_Process_2021,"mRNA splicing, via spliceosome (GO:0000398)",1.2803984478308049e-06,SF3B2;HNRNPA3;PPIL1;PRPF38A;DDX46;YTHDC1;FUS;U2SURP;WDR33;NUDT21;LSM7;SART3;HNRNPF;TRA2A;DHX15;POLR2H;SNRPC;POLR2I;SF3B1;SNRPB;HNRNPA0;POLR2L,13.568339241104793
3,vRG_VZ,GO_Biological_Process_2021,Golgi to plasma membrane protein transport (GO:0043001),0.004293823134114567,GGA2;RAB10;BBS1;GOLPH3;SEC16A;VAMP2,5.450577769448231
1766,vRG_VZ,GO_Cellular_Component_2021,intracellular membrane-bounded organelle (GO:0043231),5.6167562670937044e-08,EIF4A1;EHMT2;ZNF292;HDLBP;CCAR2;TIAL1;EEF1B2;PSMD3;KMT5B;PIP4K2B;CMTR1;PHLDA1;FADS1;TSPYL1;DNTTIP1;RSBN1;RC3H2;SMO;TBL1XR1;HAT1;ERF;ZNF316;CHMP4B;PREB;PPIA;SNRPB;URI1;YTHDC1;FLII;STK39;ZNF24;RLF;OAZ2;ZFP36L1;SBNO1;TP53BP2;PACSIN2;LTA4H;ZNF664;SERF2;PRPF38A;CPSF6;API5;FUS;OSBPL2;SMARCA5;NFATC3;SNF8;DIAPH1;LSM7;FUBP1;HNRNPF;NF1;UBE2O;FBXL3;CNOT8;RERE;MUS81;CREBZF;WDR48;CDKN1B;BTG1;DDX46;DPY30;PSIP1;WASL;LITAF;NGRN;XPO1;SART3;SNAPC3;CYP2R1;DHX15;IDH3B;CASP2;HMG20B;ARIH1;FEZF2;TNPO3;PARP1;DDX54;VEZF1;RAD23B;ZDHHC17;WDR33;GNL3;TUBB2A;TFDP1;SLTM;TBC1D5;ATP6V1B2;VGLL4;VAMP2;NFAT5;SF3B2;ADD1;DNAJB2;CECR2;SH3BGRL;CUX1;TRA2A;MVB12B;POLR2H;POLR2I;SF3B1;HES5;HNRNPA0;POLR2L;EGLN1;ATF7IP;HNRNPA3;PPIL1;TAF15;MCRS1;GBF1;RANBP9;ZIC5;ELP6;U2SURP;HIPK3;AGBL5;CLCN7;NUDT21;GOLPH3;PSMC5;ITCH;NFIA;NFIB;ZNF219;NBR1;PFKM,16.69492642335106
1767,vRG_VZ,GO_Cellular_Component_2021,nucleus (GO:0005634),1.4841606512118446e-06,EIF4A1;EHMT2;ZNF292;HDLBP;CCAR2;TIAL1;EEF1B2;PSMD3;KMT5B;PIP4K2B;CMTR1;PHLDA1;TSPYL1;DNTTIP1;RSBN1;TBL1XR1;HAT1;ERF;ZNF316;CHMP4B;PREB;PPIA;SNRPB;URI1;YTHDC1;FLII;ZNF24;RLF;OAZ2;ZFP36L1;SBNO1;TP53BP2;LTA4H;ZNF664;SERF2;PRPF38A;CPSF6;API5;FUS;SMARCA5;NFATC3;SNF8;DIAPH1;LSM7;FUBP1;HNRNPF;NF1;UBE2O;FBXL3;CNOT8;RERE;MUS81;CREBZF;WDR48;CDKN1B;BTG1;DDX46;DPY30;PSIP1;WASL;NGRN;XPO1;SART3;SNAPC3;DHX15;IDH3B;CASP2;HMG20B;ARIH1;FEZF2;PARP1;DDX54;VEZF1;RAD23B;WDR33;GNL3;TUBB2A;TFDP1;SLTM;VGLL4;NFAT5;SF3B2;ADD1;DNAJB2;CECR2;SH3BGRL;CUX1;TRA2A;MVB12B;POLR2H;POLR2I;SF3B1;HES5;HNRNPA0;POLR2L;EGLN1;ATF7IP;HNRNPA3;PPIL1;TAF15;MCRS1;RANBP9;ZIC5;ELP6;U2SURP;HIPK3;AGBL5;NUDT21;PSMC5;NFIA;NFIB;ZNF219;PFKM,13.420661163544704
1768,vRG_VZ,GO_Cellular_Component_2021,U12-type spliceosomal complex (GO:0005689),0.008120546532443535,SF3B2;LSM7;DHX15;SF3B1;SNRPB,4.813357820122388
1975,vRG_VZ,KEGG_2021_Human,Spliceosome,1.566911338405269e-05,SF3B2;HNRNPA3;PPIL1;PRPF38A;CCDC12;DDX46;FUS;U2SURP;LSM7;TRA2A;DHX15;SNRPC;SF3B1;SNRPB,11.063819083665956
1976,vRG_VZ,KEGG_2021_Human,Endocytosis,0.0015408150387384233,RAB5C;GBF1;CXCR4;SNF8;WASL;ASAP2;RAB11B;ARFGAP2;RAB10;ITCH;CAPZA2;MVB12B;CHMP2A;CHMP4B;VPS28,6.475443756623793
0,ExM.U_MZ,GO_Biological_Process_2021,extracellular matrix organization (GO:0030198),0.0019680335001593585,COL18A1;VWF;LAMC3;COL11A1;LAMA4;LAMB1;LAMC1;NID1;COL1A2;COL6A3;CYP1B1;P4HB;JAM3,6.230720458058257
1,ExM.U_MZ,GO_Biological_Process_2021,extracellular structure organization (GO:0043062),0.0019680335001593585,COL18A1;COL1A2;VWF;LAMC3;COL11A1;LAMA4;COL6A3;LAMB1;LAMC1;NID1;JAM3,6.230720458058257
2,ExM.U_MZ,GO_Biological_Process_2021,external encapsulating structure organization (GO:0045229),0.0019680335001593585,COL18A1;COL1A2;VWF;LAMC3;COL11A1;LAMA4;COL6A3;LAMB1;LAMC1;NID1;JAM3,6.230720458058257
3,ExM.U_MZ,GO_Biological_Process_2021,synaptic vesicle recycling (GO:0036465),0.0048418795835757375,SYT5;KIAA1109;SYNJ1;SYT7;STX1A,5.330452289925505
1412,ExM.U_MZ,GO_Cellular_Component_2021,collagen-containing extracellular matrix (GO:0062023),0.0004872874239521033,COL18A1;ITIH2;VWF;LAMC3;COL11A1;LAMA4;ANXA5;LAMB1;LAMC1;NID1;HNRNPM;COL1A2;COL6A3;APOE,7.6266564160569
1413,ExM.U_MZ,GO_Cellular_Component_2021,endoplasmic reticulum lumen (GO:0005788),0.0005486614456380988,COL18A1;COL1A2;ITIH2;IGFBP4;COL11A1;ANO8;COL6A3;LAMB1;P4HB;LAMC1;APOE;FSTL1,7.508028981288581
1414,ExM.U_MZ,GO_Cellular_Component_2021,basement membrane (GO:0005604),0.0055525951883607,LAMC3;LAMA4;LAMB1;LAMC1;NID1,5.193489859008877
1545,ExM.U_MZ,KEGG_2021_Human,ECM-receptor interaction,0.0019463443200462656,COL1A2;VWF;LAMC3;LAMA4;COL6A3;LAMB1;LAMC1,6.241802373538816
1546,ExM.U_MZ,KEGG_2021_Human,Focal adhesion,0.0019463443200462656,PDGFRB;COL1A2;VWF;LAMC3;LAMA4;COL6A3;LAMB1;PARVA;FLNB;LAMC1,6.241802373538816
1547,ExM.U_MZ,KEGG_2021_Human,Toxoplasmosis,0.0023028213394369326,NFKBIA;LAMC3;LAMA4;LAMB1;LAMC1;MAPK12;HSPA1A,6.07362023847074
335,oRG_LGE,GO_Cellular_Component_2021,small ribosomal subunit (GO:0015935),0.0014647516225458296,RACK1;UBA52,6.526069591811142
336,oRG_LGE,GO_Cellular_Component_2021,prespliceosome (GO:0071010),0.005080393324717131,LSM7;LUC7L3,5.282366594263575
337,oRG_LGE,GO_Cellular_Component_2021,U2-type prespliceosome (GO:0071004),0.005080393324717131,LSM7;LUC7L3,5.282366594263575
0,vRG_LGE,GO_Biological_Process_2021,renal filtration cell differentiation (GO:0061318),0.000641050505210705,BASP1;PROM1,7.352402312867123
1,vRG_LGE,GO_Biological_Process_2021,glomerular epithelial cell differentiation (GO:0072311),0.000641050505210705,BASP1;PROM1,7.352402312867123
2,vRG_LGE,GO_Biological_Process_2021,glomerular visceral epithelial cell differentiation (GO:0072112),0.0018760571981617684,BASP1;PROM1,6.278582939437648
185,vRG_LGE,GO_Cellular_Component_2021,neuronal dense core vesicle (GO:0098992),0.0002403419841794758,VPS13A;KIF1A,8.333447714796318
0,ExDp1_SP,GO_Biological_Process_2021,ATP synthesis coupled electron transport (GO:0042773),0.005358574856511383,NDUFB6;NDUFS2;NDUFV3,5.229057224232324
1047,ExDp1_SP,KEGG_2021_Human,Oxidative phosphorylation,0.004160649067124644,NDUFA8;NDUFB6;ATP6AP1;NDUFS2;NDUFV3;SDHA,5.4820841911286005
1048,ExDp1_SP,KEGG_2021_Human,Parkinson disease,0.004160649067124644,NDUFA8;PSMB5;NDUFB6;UBB;NDUFS2;NDUFV3;SDHA;UBA52,5.4820841911286005
1049,ExDp1_SP,KEGG_2021_Human,Amyotrophic lateral sclerosis,0.009071063386589464,NDUFA8;PSMB5;NDUFB6;NDUFS2;NDUFV3;SDHA;ACTR10;NUP58;UBQLN2,4.70266577954556
